date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:23:11	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Jul%202024%2015:23:13%20GMT	http://www.coralviu.com/cdn/shopifycloud/shopify/assets/shopify_pay/storefront-80e528be853eac23af2454534897ca9536b1d3d04aa043b042f34879a3c111c8.js?v=20220906	C:/Mis%20lugares%20Web/Coral%20Viu/www.coralviu.com/cdn/shopifycloud/shopify/assets/shopify_pay/storefront-80e528be853eac23af2454534897ca9536b1d3d04aa043b042f34879a3c111c8b805.js	(from https://www.coralviu.com/)
17:23:12	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Jul%202024%2015:23:14%20GMT	http://www.coralviu.com/cdn/shopifycloud/shopify/assets/storefront/features-1c0b396bd4d054b94abae1eb6a1bd6ba47beb35525c57a217c77a862ff06d83f.js	C:/Mis%20lugares%20Web/Coral%20Viu/www.coralviu.com/cdn/shopifycloud/shopify/assets/storefront/features-1c0b396bd4d054b94abae1eb6a1bd6ba47beb35525c57a217c77a862ff06d83f.js	(from https://www.coralviu.com/)
17:23:12	51984/51984	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2013%20May%202024%2016:42:28%20GMT	https://www.coralviu.com/cdn/shopifycloud/shopify/assets/shopify_pay/storefront-80e528be853eac23af2454534897ca9536b1d3d04aa043b042f34879a3c111c8.js?v=20220906	C:/Mis%20lugares%20Web/Coral%20Viu/www.coralviu.com/cdn/shopifycloud/shopify/assets/shopify_pay/storefront-80e528be853eac23af2454534897ca9536b1d3d04aa043b042f34879a3c111c8b805.js	(from https://www.coralviu.com/)
17:23:12	37678/37678	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2013%20May%202024%2022:53:31%20GMT	https://www.coralviu.com/cdn/shopifycloud/shopify/assets/storefront/features-1c0b396bd4d054b94abae1eb6a1bd6ba47beb35525c57a217c77a862ff06d83f.js	C:/Mis%20lugares%20Web/Coral%20Viu/www.coralviu.com/cdn/shopifycloud/shopify/assets/storefront/features-1c0b396bd4d054b94abae1eb6a1bd6ba47beb35525c57a217c77a862ff06d83f.js	(from https://www.coralviu.com/)
17:23:12	97878/97878	---MCZ	200	added ('OK')	text/javascript	date:Sat,%2027%20Jul%202024%2014:50:23%20GMT	https://www.coralviu.com/cdn/shopifycloud/privacy-banner/storefront-banner.js	C:/Mis%20lugares%20Web/Coral%20Viu/www.coralviu.com/cdn/shopifycloud/privacy-banner/storefront-banner.js	(from https://www.coralviu.com/)
17:23:14	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Jul%202024%2015:23:14%20GMT	http://www.coralviu.com/cdn/shop/t/2/compiled_assets/scripts.js?561	C:/Mis%20lugares%20Web/Coral%20Viu/www.coralviu.com/cdn/shop/t/2/compiled_assets/scripts58ae.js	(from https://www.coralviu.com/)
17:23:14	3262/3262	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2011%20Jul%202024%2017:20:40%20GMT	https://www.coralviu.com/cdn/shop/t/2/compiled_assets/scripts.js?561	C:/Mis%20lugares%20Web/Coral%20Viu/www.coralviu.com/cdn/shop/t/2/compiled_assets/scripts58ae.js	(from https://www.coralviu.com/)
17:23:14	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Jul%202024%2015:23:16%20GMT	http://www.coralviu.com/cdn/fonts/montserrat/montserrat_n4.1d581f6d4bf1a97f4cbc0b88b933bc136d38d178.woff2?h1=MzkxMzJjLTIuYWNjb3VudC5teXNob3BpZnkuY29t&h2=Y29yYWx2aXUuY29t&hmac=21b4d7299f9a950d81116a3fa405b91e998b7c1f465a91bc4bb9c531ddfa9698	C:/Mis%20lugares%20Web/Coral%20Viu/www.coralviu.com/cdn/fonts/montserrat/montserrat_n4.1d581f6d4bf1a97f4cbc0b88b933bc136d38d178d64f.woff2	(from https://www.coralviu.com/)
17:23:14	22716/22716	---M--	200	added ('OK')	font/woff2	date:Thu,%2013%20Jun%202024%2004:12:47%20GMT	https://www.coralviu.com/cdn/fonts/montserrat/montserrat_n4.1d581f6d4bf1a97f4cbc0b88b933bc136d38d178.woff2?h1=MzkxMzJjLTIuYWNjb3VudC5teXNob3BpZnkuY29t&h2=Y29yYWx2aXUuY29t&hmac=21b4d7299f9a950d81116a3fa405b91e998b7c1f465a91bc4bb9c531ddfa9698	C:/Mis%20lugares%20Web/Coral%20Viu/www.coralviu.com/cdn/fonts/montserrat/montserrat_n4.1d581f6d4bf1a97f4cbc0b88b933bc136d38d178d64f.woff2	(from https://www.coralviu.com/)
17:23:15	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Jul%202024%2015:23:17%20GMT	http://www.coralviu.com/cdn/fonts/montserrat/montserrat_n4.cfce41a967758ce5a9b7d48daeb5b028fd977a9b.woff?h1=MzkxMzJjLTIuYWNjb3VudC5teXNob3BpZnkuY29t&h2=Y29yYWx2aXUuY29t&hmac=0a5feac24f9d7a8c4110808d627066dd75534b9f924ecd0dae0c38b9046be523	C:/Mis%20lugares%20Web/Coral%20Viu/www.coralviu.com/cdn/fonts/montserrat/montserrat_n4.cfce41a967758ce5a9b7d48daeb5b028fd977a9b04fa.woff	(from https://www.coralviu.com/)
17:23:16	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Jul%202024%2015:23:17%20GMT	http://www.coralviu.com/cdn/fonts/montserrat/montserrat_n7.c496e9cf2031deec4c4bca338faa81971c8631d4.woff2?h1=MzkxMzJjLTIuYWNjb3VudC5teXNob3BpZnkuY29t&h2=Y29yYWx2aXUuY29t&hmac=19d09b14f4f292a5030f3b67a1c6fab1449ccf580ae3b060b25e5938526af084	C:/Mis%20lugares%20Web/Coral%20Viu/www.coralviu.com/cdn/fonts/montserrat/montserrat_n7.c496e9cf2031deec4c4bca338faa81971c8631d448cb.woff2	(from https://www.coralviu.com/)
17:23:16	22636/22636	---M--	200	added ('OK')	font/woff2	date:Thu,%2027%20Jun%202024%2015:46:41%20GMT	https://www.coralviu.com/cdn/fonts/montserrat/montserrat_n4.cfce41a967758ce5a9b7d48daeb5b028fd977a9b.woff?h1=MzkxMzJjLTIuYWNjb3VudC5teXNob3BpZnkuY29t&h2=Y29yYWx2aXUuY29t&hmac=0a5feac24f9d7a8c4110808d627066dd75534b9f924ecd0dae0c38b9046be523	C:/Mis%20lugares%20Web/Coral%20Viu/www.coralviu.com/cdn/fonts/montserrat/montserrat_n4.cfce41a967758ce5a9b7d48daeb5b028fd977a9b04fa.woff	(from https://www.coralviu.com/)
17:23:17	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Jul%202024%2015:23:18%20GMT	http://www.coralviu.com/cdn/fonts/montserrat/montserrat_n7.78b0223375c94b39ce1af7e09a0225f2bb3d05f7.woff?h1=MzkxMzJjLTIuYWNjb3VudC5teXNob3BpZnkuY29t&h2=Y29yYWx2aXUuY29t&hmac=91e61783bc640a87a33baf29d3c4346dcc5d080010b2c7e52dae8fcc7bad2144	C:/Mis%20lugares%20Web/Coral%20Viu/www.coralviu.com/cdn/fonts/montserrat/montserrat_n7.78b0223375c94b39ce1af7e09a0225f2bb3d05f7b06c.woff	(from https://www.coralviu.com/)
17:23:17	22736/22736	---M--	200	added ('OK')	font/woff2	date:Thu,%2013%20Jun%202024%2010:32:25%20GMT	https://www.coralviu.com/cdn/fonts/montserrat/montserrat_n7.c496e9cf2031deec4c4bca338faa81971c8631d4.woff2?h1=MzkxMzJjLTIuYWNjb3VudC5teXNob3BpZnkuY29t&h2=Y29yYWx2aXUuY29t&hmac=19d09b14f4f292a5030f3b67a1c6fab1449ccf580ae3b060b25e5938526af084	C:/Mis%20lugares%20Web/Coral%20Viu/www.coralviu.com/cdn/fonts/montserrat/montserrat_n7.c496e9cf2031deec4c4bca338faa81971c8631d448cb.woff2	(from https://www.coralviu.com/)
17:23:18	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Jul%202024%2015:23:19%20GMT	http://www.coralviu.com/cdn/fonts/montserrat/montserrat_i4.ae02483b3d5e8777d0d4a4ccf396482c364d8955.woff2?h1=MzkxMzJjLTIuYWNjb3VudC5teXNob3BpZnkuY29t&h2=Y29yYWx2aXUuY29t&hmac=6213fab1c24811692d55573474f0488bbe97db55febe7f5cf56cfbfcd065b610	C:/Mis%20lugares%20Web/Coral%20Viu/www.coralviu.com/cdn/fonts/montserrat/montserrat_i4.ae02483b3d5e8777d0d4a4ccf396482c364d8955abb0.woff2	(from https://www.coralviu.com/)
17:23:18	22760/22760	---M--	200	added ('OK')	font/woff2	date:Thu,%2013%20Jun%202024%2002:59:00%20GMT	https://www.coralviu.com/cdn/fonts/montserrat/montserrat_n7.78b0223375c94b39ce1af7e09a0225f2bb3d05f7.woff?h1=MzkxMzJjLTIuYWNjb3VudC5teXNob3BpZnkuY29t&h2=Y29yYWx2aXUuY29t&hmac=91e61783bc640a87a33baf29d3c4346dcc5d080010b2c7e52dae8fcc7bad2144	C:/Mis%20lugares%20Web/Coral%20Viu/www.coralviu.com/cdn/fonts/montserrat/montserrat_n7.78b0223375c94b39ce1af7e09a0225f2bb3d05f7b06c.woff	(from https://www.coralviu.com/)
17:23:19	23300/23300	---M--	200	added ('OK')	font/woff2	date:Thu,%2013%20Jun%202024%2005:19:17%20GMT	https://www.coralviu.com/cdn/fonts/montserrat/montserrat_i4.ae02483b3d5e8777d0d4a4ccf396482c364d8955.woff2?h1=MzkxMzJjLTIuYWNjb3VudC5teXNob3BpZnkuY29t&h2=Y29yYWx2aXUuY29t&hmac=6213fab1c24811692d55573474f0488bbe97db55febe7f5cf56cfbfcd065b610	C:/Mis%20lugares%20Web/Coral%20Viu/www.coralviu.com/cdn/fonts/montserrat/montserrat_i4.ae02483b3d5e8777d0d4a4ccf396482c364d8955abb0.woff2	(from https://www.coralviu.com/)
17:23:19	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Jul%202024%2015:23:20%20GMT	http://www.coralviu.com/cdn/fonts/montserrat/montserrat_i4.ba28d1a04ec09448de486d83c63235903dfc0af8.woff?h1=MzkxMzJjLTIuYWNjb3VudC5teXNob3BpZnkuY29t&h2=Y29yYWx2aXUuY29t&hmac=9b0bba8c8ccc68059aa14da0dd3f82dc0c8a80482202cc92a70ea12c2225763a	C:/Mis%20lugares%20Web/Coral%20Viu/www.coralviu.com/cdn/fonts/montserrat/montserrat_i4.ba28d1a04ec09448de486d83c63235903dfc0af80552.woff	(from https://www.coralviu.com/)
17:23:19	23328/23328	---M--	200	added ('OK')	font/woff2	date:Thu,%2013%20Jun%202024%2011:23:35%20GMT	https://www.coralviu.com/cdn/fonts/montserrat/montserrat_i4.ba28d1a04ec09448de486d83c63235903dfc0af8.woff?h1=MzkxMzJjLTIuYWNjb3VudC5teXNob3BpZnkuY29t&h2=Y29yYWx2aXUuY29t&hmac=9b0bba8c8ccc68059aa14da0dd3f82dc0c8a80482202cc92a70ea12c2225763a	C:/Mis%20lugares%20Web/Coral%20Viu/www.coralviu.com/cdn/fonts/montserrat/montserrat_i4.ba28d1a04ec09448de486d83c63235903dfc0af80552.woff	(from https://www.coralviu.com/)
17:23:20	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Jul%202024%2015:23:21%20GMT	http://www.coralviu.com/cdn/fonts/montserrat/montserrat_i7.83866c3eec90071fa974c17980ffb42977f9e667.woff2?h1=MzkxMzJjLTIuYWNjb3VudC5teXNob3BpZnkuY29t&h2=Y29yYWx2aXUuY29t&hmac=70bb22c7296586b6af1fdfea2a22c2d602177a0b7abd0ca614a1d4a9f8bccf96	C:/Mis%20lugares%20Web/Coral%20Viu/www.coralviu.com/cdn/fonts/montserrat/montserrat_i7.83866c3eec90071fa974c17980ffb42977f9e6679a16.woff2	(from https://www.coralviu.com/)
